Team,Player,#,Class,Pos,Height,Weight,Hometown,High School,Summary
North Carolina,Joel Berry,2,JR,G,Jun-00,195,"Apopka, FL",Lake Highland Prep,"14.7 Pts, 3.1 Reb, 3.6 Ast"
North Carolina,Tony Bradley,5,FR,F,10-Jun,240,"Bartow, FL",,"7.1 Pts, 5.1 Reb, 0.6 Ast"
North Carolina,Nate Britt,0,SR,G,1-Jun,170,"Upper Marlboro, MD",Oak Hill Academy (VA),"4.5 Pts, 1.8 Reb, 2.4 Ast"
North Carolina,Kanler Coker,13,SR,G,4-Jun,200,"Gainesville, GA",Flowery Branch HS,"0.4 Pts, 0.2 Reb, 0.0 Ast"
North Carolina,Isaiah Hicks,4,SR,F,8-Jun,230,"Oxford, NC",J.F. Webb,"11.8 Pts, 5.5 Reb, 1.4 Ast"
North Carolina,Justin Jackson,44,JR,F,8-Jun,193,"Tomball, TX",Home School Christian Youth Association,"18.3 Pts, 4.7 Reb, 2.8 Ast"
North Carolina,Luke Maye,32,SO,F,7-Jun,227,"Huntersville, NC",Hough HS,"5.5 Pts, 3.9 Reb, 1.2 Ast"
North Carolina,Kennedy Meeks,3,SR,F,9-Jun,290,"Charlotte, NC",West Charlotte HS,"12.5 Pts, 9.4 Reb, 1.0 Ast"
North Carolina,Theo Pinson,1,JR,F,6-Jun,195,"Greensboro, NC",Wesleyan Christian Academy,"6.1 Pts, 4.6 Reb, 3.7 Ast"
North Carolina,Brandon Robinson,14,FR,G,5-Jun,162,"Douglasville, GA",,"1.9 Pts, 1.2 Reb, 0.8 Ast"
North Carolina,Aaron Rohlman,25,JR,F,6-Jun,210,"Gastonia, NC",,"0.7 Reb, 0.1 Ast"
North Carolina,Shea Rush,11,FR,F,6-Jun,200,"Fairway, KS",,"0.7 Pts, 0.2 Reb"
North Carolina,Stilman White,30,SR,G,Jun-00,170,"Wilmington, NC",Hoggard HS,"1.4 Pts, 0.4 Reb, 0.2 Ast"
North Carolina,Kenny Williams,24,SO,G,3-Jun,166,"Midlothian, VA",Bird HS,"6.2 Pts, 3.3 Reb, 2.2 Ast"
North Carolina,Seventh Woods,21,FR,G,2-Jun,180,"Columbia, SC",,"1.5 Pts, 1.4 Reb, 1.2 Ast"
Florida State,Brandon Allen,40,JR,F,6-Jun,200,"Milton, FL",Milton HS,"3.0 Pts, 0.4 Reb, 0.3 Ast"
Florida State,Braian Angola-Rodas,11,JR,G,6-Jun,195,"Villanueva, Colombia",,"4.6 Pts, 1.6 Reb, 1.2 Ast"
Florida State,Dwayne Bacon,4,SO,G,7-Jun,210,"Lakeland, FL",,"17.2 Pts, 4.2 Reb, 1.7 Ast"
Florida State,Phil Cofer,0,JR,F,8-Jun,205,"Atlanta, GA",Whitewater HS,"2.9 Pts, 1.9 Reb, 0.2 Ast"
Florida State,Trent Forrest,3,FR,G,5-Jun,215,"Chipley, FL",,"4.9 Pts, 2.7 Reb, 1.6 Ast"
Florida State,Jonathan Isaac,1,FR,F,10-Jun,210,"Naples, FL",,"12.0 Pts, 7.8 Reb, 1.2 Ast"
Florida State,Mfiondu Kabengele,25,FR,F,9-Jun,235,"Ontario, Canada",,
Florida State,Chris Koumadje,21,SO,C,4-Jul,233,"N'djamena, Chad",,"3.4 Pts, 1.9 Reb, 0.1 Ast"
Florida State,Travis Light,20,FR,G,5-Jun,165,"Vienna, VA",,
Florida State,Terance Mann,14,SO,G,6-Jun,200,"Lowell, MA",Tilton School (NH),"8.4 Pts, 4.5 Reb, 1.7 Ast"
Florida State,Will Miles,33,FR,F,6-Jun,220,"Orlando, FL",,
Florida State,Michael Ojo,50,SR,C,1-Jul,292,"Lagos, Nigeria",Tennessee Temple HS,"4.9 Pts, 3.2 Reb, 0.2 Ast"
Florida State,Xavier Rathan-Mayes,22,JR,G,4-Jun,190,"Ontario, Canada",Huntington Prep (WV),"10.6 Pts, 3.2 Reb, 4.8 Ast"
Florida State,PJ Savoy,5,SO,G,4-Jun,200,"Las Vegas, NV",,"5.5 Pts, 0.8 Reb, 0.2 Ast"
Florida State,Jarquez Smith,23,SR,F,9-Jun,225,"Haddock, GA",Jones County HS,"4.4 Pts, 2.8 Reb, 0.5 Ast"
Florida State,CJ Walker,2,FR,G,1-Jun,195,"Indianapolis, IN",,"4.9 Pts, 1.4 Reb, 1.3 Ast"
Louisville,Deng Adel,22,SO,F,7-Jun,190,"Melbourne, Australia",Victoria Rock Prep HS,"12.1 Pts, 4.5 Reb, 2.1 Ast"
Louisville,Jay Henderson,11,SO,G,5-Jun,180,"Orlando, FL",Lake Highland Prep (FL),"0.9 Pts, 0.2 Reb, 0.2 Ast"
Louisville,Tony Hicks,1,SR,G,2-Jun,180,"South Holland, IL",St. Rita HS,"3.7 Pts, 1.0 Reb, 0.8 Ast"
Louisville,Jaylen Johnson,10,JR,F,9-Jun,215,"Ypsilanti, MI",Ypsilanti HS,"8.0 Pts, 5.8 Reb, 0.5 Ast"
Louisville,V.J. King,0,FR,F,6-Jun,190,"Cleveland, OH",,"5.5 Pts, 2.1 Reb, 0.5 Ast"
Louisville,David Levitch,23,SR,G,3-Jun,180,"Goshen, KY",North Oldham HS,"1.8 Pts, 1.2 Reb, 0.9 Ast"
Louisville,Anas Mahmoud,14,JR,F,Jul-00,200,"Cairo, Egypt",West Oaks Academy,"5.7 Pts, 4.0 Reb, 0.8 Ast"
Louisville,Mangok Mathiang,12,SR,F,10-Jun,220,"Melbourne, Australia",IMG Academy (FL),"7.8 Pts, 6.0 Reb, 0.7 Ast"
Louisville,Ryan McMahon,30,FR,G,Jun-00,165,"Sarasota, FL",Cardinal Mooney HS,"2.5 Pts, 0.5 Reb, 0.6 Ast"
Louisville,Donovan Mitchell,45,SO,G,3-Jun,210,"Greenwich, CT",Brewster Academy (NH),"15.6 Pts, 4.9 Reb, 2.7 Ast"
Louisville,Tyler Sharpe,15,FR,G,1-Jun,185,"Mount Washington, KY",,"0.3 Pts, 0.4 Reb, 0.1 Ast"
Louisville,Quentin Snider,4,JR,G,2-Jun,180,"Louisville, KY",Ballard HS,"12.4 Pts, 2.7 Reb, 4.1 Ast"
Louisville,Raymond Spalding,13,SO,F,10-Jun,210,"Louisville, KY",Trinity HS,"5.9 Pts, 5.5 Reb, 0.8 Ast"
Louisville,Matz Stockman,5,JR,C,Jul-00,240,"Oslo, Norway",Canaria Basketball Academy,"1.7 Pts, 1.2 Reb, 0.2 Ast"
Louisville,Dwayne Sutton,24,SO,F,5-Jun,200,"Louisville, KY",DuPont Manual HS,
Notre Dame,V.J. Beachem,3,SR,F,8-Jun,200,"Fort Wayne, IN",New Haven HS,"14.5 Pts, 4.1 Reb, 0.9 Ast"
Notre Dame,Elijah Burns,12,SO,F,9-Jun,232,"Troy, NY",,"0.8 Pts, 0.8 Reb, 0.1 Ast"
Notre Dame,Bonzie Colson,35,JR,F,5-Jun,226,"New Bedford, MA",St. Andrew's (RI),"17.8 Pts, 10.1 Reb, 1.6 Ast"
Notre Dame,Nikola Djogo,13,FR,G,7-Jun,203,"Ontario, Canada",,
Notre Dame,Matt Farrell,5,JR,G,Jun-00,173,"Bridgewater, NJ",Point Pleasant Beach HS,"14.1 Pts, 2.0 Reb, 5.4 Ast"
Notre Dame,Martinas Geben,23,JR,F,9-Jun,255,"Vilnius, Lithuania",St. Maria Goretti HS,"3.1 Pts, 3.4 Reb, 0.7 Ast"
Notre Dame,Temple Gibbs,2,FR,G,3-Jun,200,"Scotch Plains, NJ",,"4.7 Pts, 1.5 Reb, 1.7 Ast"
Notre Dame,Matt Gregory,21,JR,F,6-Jun,190,"Avon, IN",Cathedral HS,
Notre Dame,Patrick Mazza,34,SR,F,10-Jun,255,"Glen Ellyn, IL",,"0.5 Pts, 0.2 Reb"
Notre Dame,John Mooney,33,FR,F,9-Jun,245,"Orlando, FL",,"1.2 Pts, 1.6 Reb, 0.2 Ast"
Notre Dame,Rex Pflueger,0,SO,G,6-Jun,193,"Dana Point, CA",Mater Dei HS,"4.7 Pts, 2.7 Reb, 1.5 Ast"
Notre Dame,Matt Ryan,4,SO,F,8-Jun,217,"Cortlandt Manor, NY",Iona Prep (NY),"3.6 Pts, 0.9 Reb, 0.4 Ast"
Notre Dame,Austin Torres,1,SR,F,7-Jun,228,"Granger, IN",Penn HS,"1.3 Pts, 1.4 Reb, 0.2 Ast"
Notre Dame,Steve Vasturia,32,SR,G,5-Jun,211,"Medford, NJ",St. Joseph's Prep,"13.1 Pts, 3.9 Reb, 3.3 Ast"
Duke,Grayson Allen,3,JR,G,4-Jun,195,"Jacksonville, FL",Providence,"14.5 Pts, 3.7 Reb, 3.5 Ast"
Duke,Brennan Besser,53,SO,G,5-Jun,180,"Chicago, IL",Latin School,
Duke,Marques Bolden,20,FR,C,11-Jun,245,"Desoto, TX",,"1.5 Pts, 1.1 Reb, 0.1 Ast"
Duke,Javin DeLaurier,12,FR,F,10-Jun,220,"Shipman, VA",,"1.6 Pts, 1.9 Reb, 0.1 Ast"
Duke,Harry Giles,1,FR,F,10-Jun,240,"Winston-salem, NC",,"3.9 Pts, 3.8 Reb, 0.3 Ast"
Duke,Frank Jackson,15,FR,G,3-Jun,205,"Alpine, UT",,"10.9 Pts, 2.5 Reb, 1.7 Ast"
Duke,Amile Jefferson,21,SR,F,9-Jun,215,"Philadelphia, PA",Friends Central School,"10.9 Pts, 8.4 Reb, 1.5 Ast"
Duke,Chase Jeter,2,SO,F,10-Jun,240,"Las Vegas, NV",Bishop Gorman HS,"2.6 Pts, 2.7 Reb, 0.4 Ast"
Duke,Matt Jones,13,SR,G,5-Jun,210,"Desoto, TX",DeSoto HS,"7.0 Pts, 2.8 Reb, 1.9 Ast"
Duke,Luke Kennard,5,SO,G,5-Jun,180,"Franklin, OH",Franklin HS,"19.5 Pts, 5.1 Reb, 2.5 Ast"
Duke,Sean Obi,34,JR,F,9-Jun,255,"Kaduna, Nigeria",Green Farms Academy,
Duke,Nick Pagliuca,45,SR,G,3-Jun,195,"Weston, MA",Milton Academy,0.4 Ast
Duke,Justin Robinson,50,FR,F,8-Jun,190,"San Antonio, TX",,"0.2 Pts, 0.2 Reb"
Duke,Jayson Tatum,0,FR,F,8-Jun,205,"St. Louis, MO",,"16.8 Pts, 7.3 Reb, 2.1 Ast"
Duke,Antonio Vrankovic,30,SO,C,1-Jul,270,"Delray Beach, FL",Pine Crest HS,"2.5 Pts, 2.6 Reb, 0.4 Ast"
Duke,Jack White,41,FR,F,7-Jun,215,,,"2.1 Pts, 1.3 Reb, 0.1 Ast"
Virginia,Justice Bartley,2,SO,G,5-Jun,209,"Lilburn, GA",Montrose Christian (MD),"0.9 Pts, 0.7 Reb, 0.1 Ast"
Virginia,Mamadi Diakite,25,FR,F,9-Jun,195,"Conakry, Guinea",,"3.8 Pts, 2.6 Reb, 0.2 Ast"
Virginia,Trevon Gross Jr.,10,SO,G,3-Jun,206,"Jackson, NJ",,"0.3 Pts, 0.5 Reb, 0.2 Ast"
Virginia,Kyle Guy,5,FR,G,3-Jun,165,"Indianapolis, IN",,"7.5 Pts, 1.7 Reb, 1.3 Ast"
Virginia,Devon Hall,0,JR,G,5-Jun,210,"Virginia Beach, VA",Cape Henry Collegiate HS,"8.4 Pts, 4.4 Reb, 1.9 Ast"
Virginia,Jay Huff,30,FR,F,11-Jun,215,"Durham, NC",,
Virginia,De'Andre Hunter,12,FR,G,7-Jun,212,"Philadelphia, PA",,
Virginia,Ty Jerome,11,FR,G,5-Jun,192,"New Rochelle, NY",,"4.3 Pts, 1.6 Reb, 1.5 Ast"
Virginia,Jeff Jones,24,SR,F,6-Jun,195,"Charlottesville, VA",St. Anne's-Belfield School,"0.6 Pts, 0.6 Reb"
Virginia,Austin Nichols,1,JR,F,8-Jun,228,"Collierville, TN",Briarcrest Christian,"11.0 Pts, 3.0 Reb"
Virginia,London Perrantes,32,SR,G,2-Jun,189,"Los Angeles, CA",Crespi Carmelite HS,"12.7 Pts, 3.0 Reb, 3.8 Ast"
Virginia,Jarred Reuter,31,SO,F,7-Jun,243,"Marion, MA",Brewster Academy (NH),"3.8 Pts, 2.2 Reb, 0.6 Ast"
Virginia,Jack Salt,33,SO,C,10-Jun,240,"Auckland, New Zealand",Westlake HS,"3.7 Pts, 4.0 Reb, 0.4 Ast"
Virginia,Marial Shayok,4,JR,G,6-Jun,200,"Ontario, Canada",Blair Academy,"8.9 Pts, 2.4 Reb, 1.0 Ast"
Virginia,Darius Thompson,51,JR,G,4-Jun,185,"Murfreesboro, TN",Blackman,"6.2 Pts, 1.6 Reb, 2.2 Ast"
Virginia,Isaiah Wilkins,21,JR,F,8-Jun,205,"Lilburn, GA",Greater Atlanta Christian HS,"6.8 Pts, 6.0 Reb, 1.1 Ast"
Virginia Tech,Seth Allen,4,SR,G,1-Jun,195,"Woodbridge, VA",Fredericksburg Christian School,"13.0 Pts, 2.3 Reb, 3.3 Ast"
Virginia Tech,Justin Bibbs,10,JR,G,5-Jun,220,"Dayton, OH",Montverde Academy (FL),"9.5 Pts, 2.8 Reb, 1.6 Ast"
Virginia Tech,Kerry Blackshear Jr.,24,SO,F,10-Jun,260,"Orlando, FL",Maynard Evans HS,
Virginia Tech,Chris Clarke,15,SO,G,6-Jun,205,"Virginia Beach, VA",,"11.4 Pts, 7.3 Reb, 3.3 Ast"
Virginia Tech,Greg Donlon,14,SR,F,8-Jun,230,"Midlothian, VA",Cosby HS,
Virginia Tech,Nicholas Fullard,21,JR,F,10-Jun,235,"La Plata, MD",,
Virginia Tech,Matt Galloway,33,SR,G,3-Jun,195,"Sterling, VA",Potomac Falls HS (VA),"0.2 Pts, 0.1 Reb, 0.1 Ast"
Virginia Tech,Johnny Hamilton,22,SR,C,Jul-00,230,"Rio, IL",,"3.7 Pts, 1.3 Reb"
Virginia Tech,Ahmed Hill,13,JR,G,5-Jun,195,"Augusta, GA",Aquinas HS,"11.5 Pts, 3.2 Reb, 1.2 Ast"
Virginia Tech,Tyrie Jackson,1,FR,G,1-Jun,205,"Tifton, GA",,
Virginia Tech,Seth LeDay,3,JR,F,7-Jun,200,"Dallas, TX",,"14.0 Pts, 7.0 Reb, 2.0 Ast"
Virginia Tech,Zach LeDay,32,SR,F,7-Jun,235,"Dallas, TX",The Colony,"16.5 Pts, 7.3 Reb, 1.2 Ast"
Virginia Tech,Ty Outlaw,42,JR,G,6-Jun,215,"Roxboro, NC",,"6.3 Pts, 2.8 Reb, 0.3 Ast"
Virginia Tech,Justin Robinson,5,SO,G,1-Jun,180,"Manassas, VA",,"10.3 Pts, 3.0 Reb, 4.8 Ast"
Virginia Tech,Khadim Sy,2,FR,F,10-Jun,240,"Dakar, Senegal",,"4.0 Pts, 2.7 Reb, 0.2 Ast"
Virginia Tech,Devin Wilson,11,SR,G,4-Jun,195,"Mckees Rocks, PA",Montour HS,
Miami (FL),Bruce Brown,11,FR,G,5-Jun,190,"Boston, MA",,"11.8 Pts, 5.6 Reb, 3.2 Ast"
Miami (FL),Michael Gilmore,12,JR,F,8-Jun,208,"Jacksonville, FL",Rickards HS,
Miami (FL),Josh Heath,35,JR,F,6-Jun,190,"Exeter, NH",Tilton (NH),0.3 Reb
Miami (FL),Dewan Huell,20,FR,F,11-Jun,220,"Miami, FL",,"5.8 Pts, 3.1 Reb, 0.2 Ast"
Miami (FL),Ebuka Izundu,15,SO,C,10-Jun,205,"Charlotte, NC",Victory Christian Center School (NC),"4.3 Pts, 3.0 Reb, 0.2 Ast"
Miami (FL),Anthony Lawrence Jr.,3,SO,F,7-Jun,185,"Saint Petersburg, FL",Lakewood Senior HS,"6.8 Pts, 3.8 Reb, 1.7 Ast"
Miami (FL),Rodney Miller,14,FR,C,Jul-00,258,"Laurelton, NY",,"1.0 Pts, 0.6 Reb"
Miami (FL),Kamari Murphy,21,SR,F,8-Jun,216,"Brooklyn, NY",Lincoln,"7.0 Pts, 7.3 Reb, 0.5 Ast"
Miami (FL),Ja'Quan Newton,0,JR,G,1-Jun,185,"Philadelphia, PA",Neumann-Goretti HS,"13.5 Pts, 3.5 Reb, 3.4 Ast"
Miami (FL),Davon Reed,5,SR,G,6-Jun,208,"Ewing, NJ",Princeton Day School,"14.9 Pts, 4.8 Reb, 2.4 Ast"
Miami (FL),Mike Robinson,2,SO,G,10-May,170,"New Britain, CT",New Britain HS,"0.1 Pts, 0.1 Reb"
Miami (FL),Dejan Vasiljevic,4,FR,G,3-Jun,198,,,"6.0 Pts, 1.3 Reb, 0.5 Ast"
Miami (FL),Sam Waardenburg,32,,F,9-Jun,205,,,
Syracuse,Doyin Akintobi-Adeyeye,34,SR,F,6-Jun,235,"Uniondale, NY",Uniondale HS,"0.8 Pts, 0.5 Reb"
Syracuse,Adrian Autry,11,SO,G,Jun-00,160,"Jamesville, NY",Jamesville-DeWitt HS,"0.7 Pts, 0.2 Reb"
Syracuse,Tyus Battle,25,FR,G,6-Jun,205,"Edison, NJ",,"11.3 Pts, 2.1 Reb, 1.7 Ast"
Syracuse,Braedon Bayer,10,SO,G,4-Jun,185,"Lagrangeville, NY",,
Syracuse,Shaun Belbey,24,SO,G,10-May,150,"Brick, NJ",Uniondale HS,"0.2 Pts, 0.2 Ast"
Syracuse,Paschal Chukwu,13,SO,C,2-Jul,226,"Westport, CT",Fairfield Prep,"1.7 Pts, 4.1 Reb, 0.3 Ast"
Syracuse,DaJuan Coleman,32,SR,C,9-Jun,255,"Jamesville, NY",Jamesville-DeWitt HS,"5.6 Pts, 4.8 Reb, 0.2 Ast"
Syracuse,Evan Dourdas,14,SO,G,Jun-00,170,"Jamesville, NY",Jamesville-DeWitt HS,
Syracuse,Ray Featherston,35,FR,G,8-May,150,"Westport, CT",,1.0 Pts
Syracuse,Ky Feldman,54,SO,G,10-May,160,"Agoura Hills, CA",Agoura HS,"0.6 Pts, 0.2 Reb, 0.2 Ast"
Syracuse,John Gillon,4,SR,G,Jun-00,168,"Houston, TX",Strake Jesuit,"10.5 Pts, 1.8 Reb, 5.4 Ast"
Syracuse,Franklin Howard,1,SO,G,4-Jun,170,"Suitland, MD",Paul IV HS,"4.5 Pts, 1.6 Reb, 3.6 Ast"
Syracuse,Tyler Lydon,20,SO,F,8-Jun,205,"Elizaville, NY",New Hampton School,"13.2 Pts, 8.6 Reb, 2.1 Ast"
Syracuse,Matthew Moyer,2,FR,F,8-Jun,220,"Gahanna, OH",,
Syracuse,Jonathan Radner,33,SO,G,10-May,160,"Huntington Woods, MI",Berkeley HS,"0.5 Reb, 0.5 Ast"
Syracuse,Tyler Roberson,21,SR,F,8-Jun,212,"Union, NJ",Roselle Catholic HS,"5.3 Pts, 4.9 Reb, 0.9 Ast"
Syracuse,Mike Sutton,5,JR,G,2-Jun,195,"Norwich, NY",Norwich HS,"0.6 Reb, 0.3 Ast"
Syracuse,Taurean Thompson,12,FR,F,10-Jun,225,"New York, NY",,"9.2 Pts, 3.8 Reb, 0.6 Ast"
Syracuse,Andrew White III,3,SR,G,7-Jun,220,"Richmond, VA",,"18.5 Pts, 4.6 Reb, 1.1 Ast"
Wake Forest,Britton Anderson,52,SO,G,4-Jun,195,"Great Falls, VA",,
Wake Forest,Austin Arians,34,SR,F,6-Jun,200,"Stoughton, WI",Madison Edgewood,"8.5 Pts, 1.9 Reb, 1.1 Ast"
Wake Forest,Anthony Bilas,40,SO,G,2-Jun,160,"Charlotte, NC",,
Wake Forest,Brandon Childress,0,FR,G,Jun-00,190,"Winston-salem, NC",,"6.6 Pts, 2.2 Reb, 2.2 Ast"
Wake Forest,John Collins,20,SO,F,10-Jun,218,"West Palm Beach, FL",Cardinal Newman HS,"19.2 Pts, 9.8 Reb, 0.5 Ast"
Wake Forest,Bryant Crawford,13,SO,G,3-Jun,190,"Silver Spring, MD",Gonzaga College HS,"16.2 Pts, 3.8 Reb, 5.5 Ast"
Wake Forest,Sam Japhet-Mathias,25,FR,C,11-Jun,280,,,"0.7 Pts, 0.9 Reb, 0.1 Ast"
Wake Forest,Greg McClinton,11,JR,F,7-Jun,200,"Winston-salem, NC",Hargrave Military Academy,"1.2 Pts, 1.3 Reb, 0.0 Ast"
Wake Forest,Donovan Mitchell,2,FR,F,8-Jun,210,"Clovis, CA",,"0.8 Pts, 0.2 Reb"
Wake Forest,Konstantinos Mitoglou,44,JR,F,10-Jun,225,"Thessaloniki, Greece",Aristoteleio College of Thessaloniki,"8.9 Pts, 6.1 Reb, 0.9 Ast"
Wake Forest,Doral Moore,4,SO,C,1-Jul,250,"Locust Grove, GA",,"2.6 Pts, 2.2 Reb, 0.0 Ast"
Wake Forest,Troy Rike,45,JR,F,7-Jun,195,"San Francisco, CA",St. Ignatius College Prep,"0.4 Pts, 0.6 Reb"
Wake Forest,Aaron Spivey,41,,G,2-Jun,175,,,"0.5 Pts, 0.5 Reb"
Wake Forest,Trent VanHorn,43,SR,G,3-Jun,210,"Fort Wayne, IN",Canterbury School,"0.3 Pts, 0.2 Reb, 0.2 Ast"
Wake Forest,Rich Washington,33,FR,F,6-Jun,180,"Williamsburg, VA",,"0.2 Pts, 0.2 Reb, 0.4 Ast"
Wake Forest,Mitchell Wilbekin,10,JR,G,2-Jun,165,"Gainesville, FL",The Rock School,"7.0 Pts, 1.5 Reb, 1.5 Ast"
Wake Forest,Keyshawn Woods,1,SO,G,3-Jun,182,"Gastonia, NC",Northside Christian Academy,"12.5 Pts, 4.2 Reb, 3.5 Ast"
Georgia Tech,Abdoulaye Gueye,34,SO,F,9-Jun,208,"Dakar, Senegal",Central Park Christian HS,"1.1 Pts, 2.5 Reb, 0.5 Ast"
Georgia Tech,Norman Harris,4,SO,G,3-Jun,175,"Kennesaw, GA",,"0.5 Pts, 0.2 Reb"
Georgia Tech,Josh Heath,11,SR,G,2-Jun,172,"Tampa, FL",Tampa Prep,"5.3 Pts, 2.6 Reb, 4.4 Ast"
Georgia Tech,Corey Heyward,30,SR,G,1-Jun,214,"Duluth, GA",Peachtree Ridge,"1.9 Pts, 1.8 Reb, 1.0 Ast"
Georgia Tech,Tadric Jackson,1,JR,G,2-Jun,215,"Tifton, GA",Tift County HS,"12.1 Pts, 2.2 Reb, 1.8 Ast"
